Part#,Resolution,Throughput Rate,Number of Channels,Circuit Architecture,INL in LSBs (max),SNR (typ),Power Dissipation (typ),Operating Temp Range,Analog Input Type,DNL (max),Vin Single Pin (max),US Price 1000 to 4999
AD677,16,100 kSPS,1,SAR,1.5,-,630 mW,-55 to +125,SE-Bip,1,-,$25.40
AD676,16,100 kSPS,1,SAR,1.5,-,480 mW,-40 to +85,SE-Bip,1,-,$34.82
AD7713,24,205 SPS,3,Sigma-Delta,754.97,-,5.5 mW,-55 to +125,"Diff-Bip, Diff-Uni, SE-Uni",0.0596,-,$23.73
AD7712,24,1.028 kSPS,2,Sigma-Delta,754.97,-,53 mW,-55 to +125,"Diff-Bip, Diff-Uni, SE-Bip",0.0596,-,$15.89
AD7711,24,1.028 kSPS,2,Sigma-Delta,754.97,-,53 mW,-55 to +125,"Diff-Bip, Diff-Uni, SE-Uni",0.0596,-,$18.43
AD7710,24,1.028 kSPS,2,Sigma-Delta,754.97,-,53 mW,-55 to +125,"Diff-Bip, Diff-Uni",0.0596,-,$17.40
AD7703,20,4 kSPS,1,Sigma-Delta,15.73,-,37 mW,-40 to +85,"SE-Bip, SE-Uni",0.5,-,$19.70
AD1674,12,100 kSPS,1,SAR,0.5,-,575 mW,-55 to +125,"SE-Bip, SE-Uni",1,-,$14.04
AD7880,12,66 kSPS,1,SAR,1,-,37.5 mW,-40 to +85,"SE-Bip, SE-Uni",1,-,$19.56
AD7701,16,4 kSPS,1,Sigma-Delta,0.5,-,37 mW,-40 to +85,"SE-Bip, SE-Uni",0.125,-,$15.21
AD7874,12,7.25 kSPS,4,SAR,0.5,-,150 mW,-55 to +125,SE-Bip,1,-,$37.50
AD7821,8,1 MSPS,1,Pipelined,-,-,100.5 mW,-55 to +125,"SE-Bip, SE-Uni",-,-,$9.98
AD670S,8,-,1,SAR,-,-,247.5 mW,-55 to +125,"Diff-Bip, Diff-Uni, SE-Bip, SE-Uni",-,-,-
AD574A,12,-,1,SAR,-,-,725 mW,-55 to +125,"SE-Bip, SE-Uni",-,-,$17.25
AD7711A,24,1 kSPS,2,Sigma-Delta,251.66,-,53 mW,-55 to +125,"Diff-Bip, Diff-Uni",0.0596,-,-
AD9861-80,10,80 MSPS,2,Pipelined,-,-,-,-40 to +85,Diff-Uni,-,-,$13.80
AD9683-250,14,250,1,Pipelined,-,-,468 mW,-40 to +85,Diff-Bip,-,-,$69.65
AD9683-170,14,170 MSPS,1,Pipelined,-,-,403 mW,-40 to +85,Diff-Bip,-,-,$38.40
AD9680-820,14,820 MSPS,2,Pipelined,-,-,2.9 W,-40 to +85,Differential,0.8,-,$369.75
AD9680-500,14,500 MSPS,2,Pipelined,-,-,2.2 W,-40 to +85,Differential,0.7,-,$500.00
AD9650-80,16,80 MSPS,2,Pipelined,-,-,642 mW,-40 to +85,Diff-Bip,-,-,$114.92
AD9650-65,16,65 MSPS,2,Pipelined,-,-,520 mW,-40 to +85,Diff-Bip,-,-,$98.52
AD9650-25,16,25 MSPS,2,Pipelined,-,-,355 mW,-40 to +85,Diff-Bip,-,-,$53.00
AD9649-80,14,80 MSPS,1,Pipelined,-,-,118.3 mW,-40 to +85,Diff-Uni,-,-,$25.00
AD9649-65,14,65 MSPS,1,Pipelined,-,-,101.5 mW,-40 to +85,Diff-Uni,-,-,$23.35
AD9649-40,14,40 MSPS,1,Pipelined,-,-,73.8 mW,-40 to +85,Diff-Uni,-,-,$15.13
AD9648-125,14,125 MSPS,2,Pipelined,-,-,220.5 mW,-40 to +85,Diff-Uni,-,-,$51.25
AD9644-80,14,80 MSPS,2,Pipelined,-,-,423 mW,-40 to +85,Diff-Bip,-,-,$41.65
AD9643-250,14,250 MSPS,2,Pipelined,-,-,785 mW,-40 to +85,Diff-Bip,-,-,$131.57
AD9643-210,14,210 MSPS,2,Pipelined,-,-,614 mW,-40 to +85,Diff-Bip,-,-,$109.74
AD9642-250,14,250 MSPS,1,Pipelined,-,-,360 mW,-40 to +85,"Diff-Bip, Diff-Uni",-,-,$69.65
AD9642-210,14,210 MSPS,1,Pipelined,-,-,333 mW,-40 to +85,"Diff-Bip, Diff-Uni",-,-,$57.80
AD9640-80,14,80 MSPS,2,Pipelined,-,-,550 mW,-40 to +85,Diff-Uni,-,-,$37.95
AD9640-150,14,150 MSPS,2,Pipelined,-,-,1 W,-40 to +85,Diff-Uni,-,-,$98.67
AD9640-125,14,125 MSPS,2,Pipelined,-,-,910 mW,-40 to +85,Diff-Uni,-,-,$74.38
AD9637-80,12,80 MSPS,8,Pipelined,-,-,502 mW,-40 to +125,Diff-Uni,-,-,$56.95
AD9634-250,12,250 MSPS,1,Pipelined,-,-,360 mW,-40 to +85,Diff-Uni,-,-,$35.25
AD9634-210,12,170 MSPS,1,Pipelined,-,-,333 mW,-40 to +85,Diff-Uni,-,-,$29.25
AD9633-80,12,80 MSPS,4,Pipelined,-,-,331 mW,-40 to +85,Diff-Uni,-,-,$44.20
AD9633-125,12,125 MSPS,4,Pipelined,-,-,430 mW,-40 to +85,Diff-Uni,-,-,$68.51
AD9629-80,12,80 MSPS,1,Pipelined,-,-,114 mW,-40 to +85,Diff-Uni,-,-,$16.70
AD9629-65,12,65 MSPS,1,Pipelined,-,-,98.9 mW,-40 to +85,Diff-Uni,-,-,$12.08
AD9629-40,12,40 MSPS,1,Pipelined,-,-,71.7 mW,-40 to +85,Diff-Uni,-,-,$6.85
AD9628-125,12,125 MSPS,2,Pipelined,-,-,269 mW,-40 to +85,"Diff-Bip, SE-Uni",-,-,$31.32
AD9627-80,12,80 MSPS,2,Pipelined,-,-,490 mW,-40 to +85,Diff-Uni,-,-,-
AD9627-150,12,150 MSPS,2,Pipelined,-,-,890 mW,-40 to +85,Diff-Uni,-,-,$48.55
AD9627-125,12,125 MSPS,2,Pipelined,-,-,890 mW,-40 to +85,Diff-Uni,-,-,$41.75
AD9626-250,12,250 MSPS,1,Pipelined,-,-,364 mW,-40 to +85,Diff-Uni,-,-,$59.46
AD9626-210,12,170 MSPS,1,Pipelined,-,-,310 mW,-40 to +85,Diff-Uni,-,-,$42.00
ad9625-2.6,12,2.6 GSPS,1,Pipelined,-,-,4 W,-40 to +85,Differential,0.7,1 V,$735.00
ad9625-2.5,12,2.5 GSPS,1,Pipelined,-,-,3.9 W,-40 to +85,Differential,0.7,1 V,$735.00
AD9613-250,12,250 MSPS,2,Pipelined,-,-,770 mW,-40 to +85,Diff-Bip,-,-,$66.50
AD9613-210,12,210 MSPS,2,Pipelined,-,-,670 mW,-40 to +85,Diff-Bip,-,-,$55.50
AD9609-80,10,80 MSPS,1,Pipelined,-,-,89.5 mW,-40 to +85,Diff-Uni,-,-,$4.50
AD9609-65,10,65 MSPS,1,Pipelined,-,-,88.6 mW,-40 to +85,Diff-Uni,-,-,$4.17
AD9609-40,10,40 MSPS,1,Pipelined,-,-,67 mW,-40 to +85,Diff-Uni,-,-,$3.75
AD9609-20,10,20 MSPS,1,Pipelined,-,-,53.1 mW,-40 to +85,Diff-Uni,-,-,$3.50
AD9608-125,10,125 MSPS,2,Pipelined,-,-,189 mW,-40 to +85,Diff-Uni,-,-,$18.00
AD9600-150,10,150 MSPS,2,Pipelined,-,-,990 mW,-40 to +85,Diff-Uni,-,-,$37.85
AD9600-125,10,105 MSPS,2,Pipelined,-,-,740 mW,-40 to +85,Diff-Uni,-,-,$20.19
AD9600-105,10,105 MSPS,2,Pipelined,-,-,740 mW,-40 to +85,Diff-Uni,-,-,$11.40
AD9467-250,16,250 MSPS,1,Pipelined,-,-,1.32 W,-40 to +85,"Diff-Uni, SE-Uni",-,-,$119.85
AD9460-80,16,80 MSPS,1,Pipelined,-,-,1.8 W,-40 to +85,Diff-Uni,-,-,$48.91
AD9446-80,16,80 MSPS,1,Pipelined,-,-,2.6 W,-40 to +85,Diff-Uni,-,-,$48.91
AD9445-125,14,125 MSPS,1,Pipelined,-,-,2.6 W,-40 to +85,Diff-Uni,-,-,$55.66
AD9434-500,12,500 MSPS,1,Pipelined,-,-,660 mW,-40 to +85,Diff-Bip,-,-,$124.95
AD9433-125,12,125 MSPS,1,Pipelined,-,-,1.5 W,-40 to +85,Diff-Uni,-,-,$34.51
AD9432-80,12,80 MSPS,1,Pipelined,-,-,1 W,-40 to +85,Diff-Uni,-,-,$26.44
AD9430-210,12,210 MSPS,1,Pipelined,-,-,1.7 W,-40 to +85,Diff-Uni,-,-,$55.66
AD9288-80,8,80 MSPS,2,Pipelined,-,-,171 mW,-40 to +85,Diff-Uni,-,-,$5.87
AD9288-40,8,40 MSPS,2,Pipelined,-,-,156 mW,-40 to +85,Diff-Uni,-,-,$3.44
AD9283-80,8,80 MSPS,1,Pipelined,-,-,120 mW,-25 to +85,Diff-Uni,-,-,$3.04
AD9283-50,8,50 MSPS,1,Pipelined,-,-,80 mW,-25 to +85,Diff-Uni,-,-,$2.53
AD9273-50,12,50 MSPS,8,Pipelined,-,-,943 mW,-40 to +85,SE-Bip,-,-,$47.00
AD9273-40,12,40 MSPS,8,Pipelined,-,-,873 mW,-40 to +85,SE-Bip,-,-,$45.00
AD9272-80,12,80 MSPS,8,Pipelined,-,-,1.78 W,-40 to +85,SE-Uni,-,-,$54.00
AD9272-65,12,65 MSPS,8,Pipelined,-,-,1.69 W,-40 to +85,SE-Uni,-,-,$48.00
AD9271-50,12,50 MSPS,8,Pipelined,-,-,1.1 W,-40 to +85,SE-Uni,-,-,$50.00
AD9271-40,12,40 MSPS,8,Pipelined,-,-,1.19 W,-40 to +85,SE-Uni,-,-,$46.00
AD9269-80,16,80 MSPS,2,Pipelined,-,-,235.6 mW,-40 to +85,Diff-Uni,-,-,$84.09
AD9269-65,16,65 MSPS,2,Pipelined,-,-,235.6 mW,-40 to +85,Diff-Uni,-,-,-
AD9269-40,16,40 MSPS,2,Pipelined,-,-,165.7 mW,-40 to +85,Diff-Uni,-,-,$59.50
AD9268-80,16,80 MSPS,2,Pipelined,-,-,582 mW,-40 to +85,Diff-Uni,-,-,$101.00
AD9268-125,16,125 MSPS,2,Pipelined,-,-,870 mW,-40 to +85,Diff-Uni,-,-,$136.00
AD9266-80,16,80 MSPS,1,Pipelined,-,-,151 mW,-40 to +85,Diff-Uni,-,-,$48.33
AD9266-65,16,65 MSPS,1,Pipelined,-,-,129 mW,-40 to +85,Diff-Uni,-,-,$43.33
AD9266-40,16,40 MSPS,1,Pipelined,-,-,93 mW,-40 to +85,Diff-Uni,-,-,$35.00
AD9265-80,16,80 MSPS,1,Pipelined,-,-,308 mW,-40 to +85,Diff-Uni,-,-,$48.33
AD9265-125,16,125 MSPS,1,Pipelined,-,-,439 mW,-40 to +85,Diff-Uni,-,-,$65.00
AD9262-5,16,160 MSPS,2,Sigma-Delta,-,-,636 mW,-40 to +85,Diff-Uni,-,-,$37.00
AD9262-10,16,160 MSPS,2,Sigma-Delta,-,-,688 mW,-40 to +85,Diff-Uni,-,-,$48.00
AD9258-80,14,80 MSPS,2,Pipelined,-,-,467 mW,-40 to +85,Diff-Bip,-,-,$55.25
AD9258-125,14,125 MSPS,2,Pipelined,-,-,777 mW,-40 to +85,Diff-Bip,-,-,$93.50
AD9257-65,14,65 MSPS,8,Pipelined,-,-,464 mW,-40 to +85,Diff-Uni,-,-,$71.40
AD9255-80,14,80 MSPS,1,Pipelined,-,-,306 mW,-40 to +85,Diff-Uni,-,-,$33.00
AD9255-125,14,125 MSPS,1,Pipelined,-,-,382 mW,-40 to +85,Diff-Uni,-,-,$59.93
AD9253-EP,14,125 MSPS,4,Pipelined,-,-,480 mW,-55 to +125,Diff-Uni,-,-,$170.00
AD9253-80,14,80 MSPS,4,Pipelined,-,-,349 mW,-40 to +85,Diff-Uni,-,-,$62.90
AD9253-125,14,125 MSPS,4,Pipelined,-,-,457 mW,-40 to +85,Diff-Uni,-,-,$116.45
AD9251-80,14,80 MSPS,2,Pipelined,-,-,173 mW,-40 to +85,Diff-Uni,-,-,$37.50
AD9251-65,14,65 MSPS,2,Pipelined,-,-,146.5 mW,-40 to +85,Diff-Uni,-,-,$35.00
AD9251-40,14,40 MSPS,2,Pipelined,-,-,105.5 mW,-40 to +85,Diff-Uni,-,-,$23.89
AD9248-65,14,65 MSPS,2,Pipelined,-,-,217 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,$29.85
AD9248-40,14,40 MSPS,2,Pipelined,-,-,400 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,$24.04
AD9246-80,14,80 MSPS,1,Pipelined,-,-,279 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,$25.30
AD9246-125,14,125 MSPS,1,Pipelined,-,-,425 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,$49.08
AD9244-65,14,65 MSPS,1,Pipelined,-,-,640 mW,-40 to +85,Diff-Uni,-,-,$25.15
AD9239-250,12,250 MSPS,4,Pipelined,-,-,1.526 W,-40 to +85,"Diff-Uni, SE-Uni",-,-,$169.15
AD9239-210,12,210 MSPS,4,Pipelined,-,-,1.298 W,-40 to +85,"Diff-Uni, SE-Uni",-,-,$121.55
AD9238-65,12,65 MSPS,2,Pipelined,-,-,698 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,$18.22
AD9238-40,12,40 MSPS,2,Pipelined,-,-,397 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,$12.14
AD9237-65,12,65 MSPS,1,Pipelined,-,-,270 mW,-40 to +85,Diff-Uni,-,-,-
AD9237-40,12,40 MSPS,1,Pipelined,-,-,120 mW,-40 to +85,Diff-Uni,-,-,$8.00
AD9235-65,12,65 MSPS,1,Pipelined,-,-,350 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,$12.14
AD9235-40,12,20 MSPS,1,Pipelined,-,-,205 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,$7.99
AD9233-80,12,80 MSPS,1,Pipelined,-,-,279 mW,-40 to +85,Diff-Bip,-,-,$16.90
AD9233-125,12,125 MSPS,1,Pipelined,-,-,425 mW,-40 to +85,Diff-Bip,-,-,$27.27
AD9231-65,12,65 MSPS,2,Pipelined,-,-,173.4 mW,-40 to +85,Diff-Uni,-,-,$18.00
AD9231-40,12,40 MSPS,2,Pipelined,-,-,121.5 mW,-40 to +85,Diff-Uni,-,-,$12.00
AD9230-250,12,250 MSPS,1,Pipelined,-,-,434 mW,-40 to +85,Diff-Uni,-,-,$59.71
AD9230-210,12,210 MSPS,1,Pipelined,-,-,383 mW,-40 to +85,Diff-Uni,-,-,$42.50
AD9229-65,12,65 MSPS,4,Pipelined,-,-,1.465 W,-40 to +85,Diff-Uni,-,-,$44.53
AD9228-65,12,65 MSPS,4,Pipelined,-,-,510 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,$27.73
AD9222-65,12,65 MSPS,8,Pipelined,-,-,910 mW,-40 to +85,Diff-Uni,-,-,$55.51
AD9222-50,12,50 MSPS,8,Pipelined,-,-,740 mW,-40 to +85,Diff-Uni,-,-,$48.58
AD9219-65,10,65 MSPS,4,Pipelined,-,-,378 mW,-40 to +85,Diff-Uni,-,-,$16.19
AD9218-80,10,80 MSPS,2,Pipelined,-,-,565 mW,-40 to +85,Diff-Uni,-,-,$13.52
AD9218-65,10,65 MSPS,2,Pipelined,-,-,390 mW,-40 to +85,Diff-Uni,-,-,$11.90
AD9218-40,10,40 MSPS,2,Pipelined,-,-,340 mW,-40 to +85,Diff-Uni,-,-,$9.11
AD9216-80,10,80 MSPS,2,Pipelined,-,-,279 mW,-40 to +85,Diff-Uni,-,-,-
AD9216-65,10,65 MSPS,2,Pipelined,-,-,240 mW,-40 to +85,Diff-Uni,-,-,$7.59
AD9215-80,10,80 MSPS,1,Pipelined,-,-,96 mW,-40 to +85,Diff-Uni,-,-,$6.78
AD9215-65,10,65 MSPS,1,Pipelined,-,-,96 mW,-40 to +85,Diff-Uni,-,-,$5.06
AD9214-80,10,80 MSPS,1,Pipelined,-,-,220 mW,-40 to +85,Diff-Uni,-,-,$8.45
AD9214-65,10,65 MSPS,1,Pipelined,-,-,220 mW,-40 to +85,Diff-Uni,-,-,$6.33
AD9212-65,10,65 MSPS,8,Pipelined,-,-,800 mW,-40 to +85,Diff-Uni,-,-,$32.38
AD9211-300,10,300 MSPS,1,Pipelined,-,-,437 mW,-40 to +85,Diff-Uni,-,-,$46.55
AD9211-250,10,200 MSPS,1,Pipelined,-,-,353 mW,-40 to +85,Diff-Uni,-,-,$39.47
AD9204-80,10,80 MSPS,2,Pipelined,-,-,177 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,-
AD9204-65,10,65 MSPS,2,Pipelined,-,-,150.8 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,$7.50
AD9204-40,10,40 MSPS,2,Pipelined,-,-,111 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,$7.20
AD9057-80,8,80 MSPS,1,Pipelined,-,-,220 mW,-40 to +85,SE-Uni,-,-,$3.34
AD9057-60,8,60 MSPS,1,Pipelined,-,-,205 mW,-40 to +85,SE-Uni,-,-,$2.89
AD9054A-200,8,200 MSPS,1,Pipelined,-,-,781 mW,-40 to +85,Diff-Uni,-,-,$21.22
AD7892-3-600,12,600 kSPS,1,SAR,-,-,90 mW,-40 to +85,SE-Uni,-,-,-
AD7892-2-500,12,500 kSPS,1,SAR,-,-,60 mW,-40 to +85,SE-Bip,-,-,-
AD7859L-100,12,100 kSPS,8,SAR,-,-,10 mW,-40 to +85,"SE-Bip, SE-Uni",-,-,-
AD7858L-100,12,100 kSPS,8,SAR,-,-,10.5 mW,-40 to +85,SE-Uni,-,-,-
AD7854L-100,12,100 kSPS,1,SAR,-,-,10 mW,-55 to +125,"Diff-Uni, SE-Uni",-,-,-
AD7854-200,12,200 kSPS,1,SAR,-,-,30 mW,-55 to +125,"Diff-Uni, SE-Uni",-,-,-
AD7853L,12,100 kSPS,1,SAR,-,-,33 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,-
AD7851K,14,285 kSPS,1,SAR,-,-,89.3 mW,0 to +85,Diff-Uni,-,-,-
AD7851A,14,333 kSPS,1,SAR,-,-,89.3 mW,-40 to +85,Diff-Uni,-,-,-
AD7492-5,12,1.25 MSPS,1,SAR,-,-,16.5 mW,-40 to +85,SE-Uni,-,-,-
AD7492-4,12,400 kSPS,1,SAR,-,-,15 mW,-40 to +85,SE-Uni,-,-,-
AD7264-5,14,500 kSPS,2,SAR,-,-,120 mW,-40 to +105,Diff-Uni,-,-,-
AD7262-5,12,500 kSPS,2,SAR,-,-,175 mW,-40 to +105,Diff-Uni,-,-,$4.10
AD6655-80,14,80 MSPS,2,Pipelined,-,-,-,-40 to +85,-,-,-,$48.07
AD6655-150,14,150 MSPS,2,Pipelined,-,-,1.45 W,-40 to +85,-,-,-,$98.67
AD6655-125,14,125 MSPS,2,Pipelined,-,-,-,-40 to +85,Diff-Uni,-,-,$84.50
AD6645-80,14,80 MSPS,1,Pipelined,-,-,1.5 W,-40 to +85,Diff-Uni,-,-,-
AD6644-65,14,65 MSPS,1,Pipelined,-,-,1.5 W,-25 to +85,Diff-Uni,-,-,$45.58
AD6643-250,11,250 MSPS,2,Pipelined,-,-,853 mW,-40 to +85,Diff-Uni,-,-,$74.80
